team_id,year_id,name,lg_id
BSN1914,1914,Boston Braves,NL
BUF1914,1914,Buffalo Buffeds,FL
CHA1914,1914,Chicago White Sox,AL
CHF1914,1914,Chicago Chi-Feds,FL
CHN1914,1914,Chicago Cubs,NL
CIN1914,1914,Cincinnati Reds,NL
CLE1914,1914,Cleveland Naps,AL
DET1914,1914,Detroit Tigers,AL
IND1914,1914,Indianapolis Hoosiers,FL
KCF1914,1914,Kansas City Packers,FL
NY11914,1914,New York Giants,NL
NYA1914,1914,New York Yankees,AL
PHA1914,1914,Philadelphia Athletics,AL
PHI1914,1914,Philadelphia Phillies,NL
PIT1914,1914,Pittsburgh Pirates,NL
PTF1914,1914,Pittsburgh Rebels,FL
SLA1914,1914,St. Louis Browns,AL
SLF1914,1914,St. Louis Terriers,FL
SLN1914,1914,St. Louis Cardinals,NL
WS11914,1914,Washington Senators,AL
BLF1915,1915,Baltimore Terrapins,FL
BOS1915,1915,Boston Red Sox,AL
BRF1915,1915,Brooklyn Tip-Tops,FL
BRO1915,1915,Brooklyn Robins,NL
BSN1915,1915,Boston Braves,NL
BUF1915,1915,Buffalo Blues,FL
CHA1915,1915,Chicago White Sox,AL
CHF1915,1915,Chicago Whales,FL
CHN1915,1915,Chicago Cubs,NL
CIN1915,1915,Cincinnati Reds,NL
CLE1915,1915,Cleveland Indians,AL
DET1915,1915,Detroit Tigers,AL
KCF1915,1915,Kansas City Packers,FL
NEW1915,1915,Newark Pepper,FL
NY11915,1915,New York Giants,NL
NYA1915,1915,New York Yankees,AL
PHA1915,1915,Philadelphia Athletics,AL
PHI1915,1915,Philadelphia Phillies,NL
PIT1915,1915,Pittsburgh Pirates,NL
PTF1915,1915,Pittsburgh Rebels,FL
SLA1915,1915,St. Louis Browns,AL
SLF1915,1915,St. Louis Terriers,FL
SLN1915,1915,St. Louis Cardinals,NL
WS11915,1915,Washington Senators,AL
BOS1916,1916,Boston Red Sox,AL
BRO1916,1916,Brooklyn Robins,NL
BSN1916,1916,Boston Braves,NL
CHA1916,1916,Chicago White Sox,AL
CHN1916,1916,Chicago Cubs,NL
CIN1916,1916,Cincinnati Reds,NL
CLE1916,1916,Cleveland Indians,AL
DET1916,1916,Detroit Tigers,AL
NY11916,1916,New York Giants,NL
NYA1916,1916,New York Yankees,AL
PHA1916,1916,Philadelphia Athletics,AL
